project,github_repo,github_url,local_commit_count,path
a3via,a3viaussy,https://github.com/mojomast/a3viaussy,1,/home/mojo/builds/a3via
acclima,acclimaussy,https://github.com/mojomast/acclimaussy,1,/home/mojo/builds/acclima
actuary,actuaryussy,https://github.com/mojomast/actuaryussy,1,/home/mojo/builds/actuary
actuata,actuataussy,https://github.com/mojomast/actuataussy,1,/home/mojo/builds/actuata
acumen,acumenussy,https://github.com/mojomast/acumenussy,1,/home/mojo/builds/acumen
adhera,adheraussy,https://github.com/mojomast/adheraussy,1,/home/mojo/builds/adhera
adme,admeussy,https://github.com/mojomast/admeussy,1,/home/mojo/builds/adme
adsorba,adsorbaussy,https://github.com/mojomast/adsorbaussy,1,/home/mojo/builds/adsorba
aerona,aeronaussy,https://github.com/mojomast/aeronaussy,1,/home/mojo/builds/aerona
aero,aeroussy,https://github.com/mojomast/aeroussy,1,/home/mojo/builds/aero
alembic,alembicussy,https://github.com/mojomast/alembicussy,1,/home/mojo/builds/alembic
alloma,allomaussy,https://github.com/mojomast/allomaussy,1,/home/mojo/builds/alloma
altshullera,altshulleraussy,https://github.com/mojomast/altshulleraussy,1,/home/mojo/builds/altshullera
andonia,andoniaussy,https://github.com/mojomast/andoniaussy,1,/home/mojo/builds/andonia
anella,anellaussy,https://github.com/mojomast/anellaussy,1,/home/mojo/builds/anella
apicola,apicolaussy,https://github.com/mojomast/apicolaussy,1,/home/mojo/builds/apicola
apoptosis,apoptosisussy,https://github.com/mojomast/apoptosisussy,1,/home/mojo/builds/apoptosis
aquaria,aquariaussy,https://github.com/mojomast/aquariaussy,1,/home/mojo/builds/aquaria
aquifer,aquiferussy,https://github.com/mojomast/aquiferussy,1,/home/mojo/builds/aquifer
archivio,archivioussy,https://github.com/mojomast/archivioussy,1,/home/mojo/builds/archivio
arroyona,arroyonaussy,https://github.com/mojomast/arroyonaussy,1,/home/mojo/builds/arroyona
assay,assayussy,https://github.com/mojomast/assayussy,1,/home/mojo/builds/assay
ausculta,auscultussy,https://github.com/mojomast/auscultussy,1,/home/mojo/builds/ausculta
axis,axisussy,https://github.com/mojomast/axisussy,1,/home/mojo/builds/axis
beauforta,beaufortaussy,https://github.com/mojomast/beaufortaussy,1,/home/mojo/builds/beauforta
benforda,benfordaussy,https://github.com/mojomast/benfordaussy,1,/home/mojo/builds/benforda
bid,bidussy,https://github.com/mojomast/bidussy,1,/home/mojo/builds/bid
